route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
2,1,4838399,Grand Central Terminal - Mount Kisco,673,0,,14,1
1,1,4838397,Croton Harmon - Grand Central Terminal,712,1,,1,1
1,1,4838396,Grand Central Terminal - Croton Harmon,711,0,,12,1
1,1,4838395,Croton Harmon - Grand Central Terminal,708,1,,1,1
2,1,4838394,Hartsdale - Grand Central Terminal,532,1,,3,1
1,1,4838392,Greystone - Grand Central Terminal,416,1,,1,1
1,1,4838390,Grand Central Terminal - Croton Harmon,799,0,,12,1
1,1,4838389,Croton Harmon - Grand Central Terminal,794,1,,1,1
1,1,4838388,Croton Harmon - Grand Central Terminal,790,1,,1,1
2,1,4838387,Mount Kisco - Grand Central Terminal,628,1,,3,1
2,1,4838386,Grand Central Terminal - Southeast,603,0,,14,1
2,1,4838358,Grand Central Terminal - Southeast,689,0,,14,1
2,1,4838357,Grand Central Terminal - Southeast,687,0,,14,1
2,1,4838356,Grand Central Terminal - Mount Kisco,677,0,,14,1
2,1,4838181,North White Plains - Grand Central Terminal,574,1,,3,1
2,1,4838161,Grand Central Terminal - North White Plains,527,0,,14,1
2,1,4838156,Grand Central Terminal - North White Plains,513,0,,14,1
2,1,4838155,North White Plains - Grand Central Terminal,512,1,,3,1
1,1,4838154,Grand Central Terminal - Croton Harmon,753,0,,12,1
1,1,4838153,Croton Harmon - Grand Central Terminal,732,1,,1,1
2,1,4838149,Grand Central Terminal - North White Plains,511,0,,14,1
2,1,4838148,North White Plains - Grand Central Terminal,510,1,,3,1
2,1,4838147,North White Plains - Grand Central Terminal,508,1,,3,1
1,1,4838144,Grand Central Terminal - Croton Harmon,491,0,,12,1
1,1,4838143,Grand Central Terminal - Croton Harmon,723,0,,12,1
1,1,4838142,Scarborough - Grand Central Terminal,720,1,,1,1
2,1,4838141,Southeast - Grand Central Terminal,698,1,,3,1
1,1,4838137,Croton Harmon - Grand Central Terminal,776,1,,1,1
1,1,4838136,Croton Harmon - Grand Central Terminal,748,1,,1,1
1,1,4838135,Grand Central Terminal - Croton Harmon,747,0,,12,1
1,1,4838134,Grand Central Terminal - Croton Harmon,737,0,,12,1
2,1,4838133,North White Plains - Grand Central Terminal,554,1,,3,1
1,1,4838132,Grand Central Terminal - Greystone,481,0,,12,1
2,1,4838130,Mount Kisco - Grand Central Terminal,692,1,,3,1
2,1,4838129,Grand Central Terminal - Southeast,691,0,,14,1
2,1,4838128,Grand Central Terminal - Southeast,671,0,,14,1
2,1,4838127,Grand Central Terminal - Mount Kisco,665,0,,14,1
2,1,4838126,Grand Central Terminal - Southeast,663,0,,14,1
1,1,4838125,Croton Harmon - Grand Central Terminal,710,1,,1,1
2,1,4838119,Grand Central Terminal - North White Plains,535,0,,14,1
2,1,4838117,Grand Central Terminal - Crestwood,359,0,,14,1
2,1,4838115,Southeast - Grand Central Terminal,640,1,,3,1
1,1,4838114,Grand Central Terminal - Croton Harmon,793,0,,12,1
2,1,4838106,Grand Central Terminal - Southeast,605,0,,14,1
2,1,4838105,Southeast - Grand Central Terminal,604,1,,3,1
2,1,4838104,Grand Central Terminal - North White Plains,599,0,,14,1
2,1,4838094,North White Plains - Grand Central Terminal,566,1,,3,1
2,1,4838079,Grand Central Terminal - Southeast,681,0,,14,1
2,1,4838074,Southeast - Grand Central Terminal,656,1,,3,1
2,1,4838073,Southeast - Grand Central Terminal,648,1,,3,1
2,1,4838072,Grand Central Terminal - Southeast,623,0,,14,1
2,1,4838066,Grand Central Terminal - North White Plains,609,0,,14,1
2,1,4838065,Grand Central Terminal - North White Plains,593,0,,14,1
2,1,4838057,Grand Central Terminal - North White Plains,591,0,,14,1
2,1,4838055,North White Plains - Grand Central Terminal,576,1,,3,1
1,1,4838029,Grand Central Terminal - Croton Harmon,767,0,,12,1
1,1,4838028,Grand Central Terminal - Croton Harmon,763,0,,12,1
2,1,4838019,North White Plains - Grand Central Terminal,506,1,,3,1
2,1,4838018,North White Plains - Grand Central Terminal,504,1,,3,1
1,1,4838015,Croton Harmon - Grand Central Terminal,780,1,,1,1
1,1,4838014,Grand Central Terminal - Croton Harmon,777,0,,12,1
1,1,4838013,Grand Central Terminal - Croton Harmon,773,0,,12,1
1,1,4838011,Grand Central Terminal - Croton Harmon,739,0,,12,1
2,1,4838009,North White Plains - Grand Central Terminal,556,1,,3,1
2,1,4838007,Grand Central Terminal - Mount Kisco,669,0,,14,1
2,1,4838005,North White Plains - Grand Central Terminal,534,1,,3,1
1,1,4838004,Irvington - Grand Central Terminal,434,1,,1,1
2,1,4838001,Mt Vernon West - Grand Central Terminal,324,1,,3,1
2,1,4838000,Grand Central Terminal - Southeast,635,0,,14,1
2,1,4837999,Mount Kisco - Grand Central Terminal,632,1,,3,1
2,1,4837998,Grand Central Terminal - Southeast,631,0,,14,1
2,1,4837997,Southeast - Grand Central Terminal,630,1,,3,1
1,1,4837996,Grand Central Terminal - Croton Harmon,795,0,,12,1
1,1,4837995,Croton Harmon - Grand Central Terminal,792,1,,1,1
1,1,4837994,Grand Central Terminal - Croton Harmon,789,0,,12,1
2,1,4837991,Grand Central Terminal - North White Plains,503,0,,14,1
2,1,4837987,Grand Central Terminal - Southeast,627,0,,14,1
2,1,4837986,Southeast - Grand Central Terminal,602,1,,3,1
2,1,4837985,Grand Central Terminal - Southeast,601,0,,14,1
2,1,4837974,North White Plains - Grand Central Terminal,568,1,,3,1
2,1,4837973,Grand Central Terminal - North White Plains,567,0,,14,1
2,1,4837972,Grand Central Terminal - North White Plains,563,0,,14,1
2,1,4837960,Grand Central Terminal - Southeast,679,0,,14,1
2,1,4837957,Grand Central Terminal - Southeast,649,0,,14,1
2,1,4837950,Southeast - Grand Central Terminal,616,1,,3,1
2,1,4837949,Grand Central Terminal - Southeast,613,0,,14,1
2,1,4837948,Grand Central Terminal - Southeast,611,0,,14,1
2,1,4837947,Southeast - Grand Central Terminal,610,1,,3,1
2,1,4837942,North White Plains - Grand Central Terminal,588,1,,3,1
2,1,4837941,Grand Central Terminal - North White Plains,587,0,,14,1
2,1,4837925,North White Plains - Grand Central Terminal,560,1,,3,1
2,1,4837924,Grand Central Terminal - North White Plains,549,0,,14,1
1,1,4837908,Grand Central Terminal - Croton Harmon,769,0,,12,1
1,1,4837907,Croton Harmon - Grand Central Terminal,762,1,,1,1
1,1,4837900,Croton Harmon - Grand Central Terminal,736,1,,1,1
1,1,4837899,Ossining - Grand Central Terminal,728,1,,1,1
1,1,4837891,Croton Harmon - Grand Central Terminal,702,1,,1,1
1,1,4837889,Grand Central Terminal - Croton Harmon,781,0,,12,1
1,1,4837888,Croton Harmon - Grand Central Terminal,778,1,,1,1
1,1,4837887,Grand Central Terminal - Croton Harmon,775,0,,12,1
1,1,4838872,Croton Harmon - Grand Central Terminal,740,1,,1,1
2,1,4838870,Grand Central Terminal - North White Plains,555,0,,14,1
2,1,4838869,Grand Central Terminal - North White Plains,551,0,,14,1
1,1,4838866,Grand Central Terminal - Greystone,469,0,,12,1
1,1,4838865,Grand Central Terminal - Greystone,457,0,,12,1
2,1,4838863,Grand Central Terminal - North White Plains,539,0,,14,1
2,1,4838862,Grand Central Terminal - North White Plains,533,0,,14,1
1,1,4838861,Grand Central Terminal - Croton Harmon,797,0,,12,1
